T27,CO2 emission estimates,,,,,
50,Bangladesh,1985,Emissions (thousand metric tons of carbon dioxide),9967,Data refer to fiscal years beginning 1 July.,"International Energy Agency, IEA World Energy Balances 2021 and 2006 IPCC Guidelines for Greenhouse Gas Inventories, last accessed June 2022."
50,Bangladesh,2005,Emissions (thousand metric tons of carbon dioxide),35116,Data refer to fiscal years beginning 1 July.,"International Energy Agency, IEA World Energy Balances 2021 and 2006 IPCC Guidelines for Greenhouse Gas Inventories, last accessed June 2022."
50,Bangladesh,2010,Emissions (thousand metric tons of carbon dioxide),53293,Data refer to fiscal years beginning 1 July.,"International Energy Agency, IEA World Energy Balances 2021 and 2006 IPCC Guidelines for Greenhouse Gas Inventories, last accessed June 2022."
50,Bangladesh,2015,Emissions (thousand metric tons of carbon dioxide),74394,Data refer to fiscal years beginning 1 July.,"International Energy Agency, IEA World Energy Balances 2021 and 2006 IPCC Guidelines for Greenhouse Gas Inventories, last accessed June 2022."
50,Bangladesh,2017,Emissions (thousand metric tons of carbon dioxide),81405,Data refer to fiscal years beginning 1 July.,"International Energy Agency, IEA World Energy Balances 2021 and 2006 IPCC Guidelines for Greenhouse Gas Inventories, last accessed June 2022."
50,Bangladesh,2018,Emissions (thousand metric tons of carbon dioxide),85449,Data refer to fiscal years beginning 1 July.,"International Energy Agency, IEA World Energy Balances 2021 and 2006 IPCC Guidelines for Greenhouse Gas Inventories, last accessed June 2022."
50,Bangladesh,2019,Emissions (thousand metric tons of carbon dioxide),92736,Data refer to fiscal years beginning 1 July.,"International Energy Agency, IEA World Energy Balances 2021 and 2006 IPCC Guidelines for Greenhouse Gas Inventories, last accessed June 2022."
50,Bangladesh,1975,Emissions per capita (metric tons of carbon dioxide),0.1,Data refer to fiscal years beginning 1 July.,"International Energy Agency, IEA World Energy Balances 2021 and 2006 IPCC Guidelines for Greenhouse Gas Inventories, last accessed June 2022."
50,Bangladesh,1985,Emissions per capita (metric tons of carbon dioxide),0.1,Data refer to fiscal years beginning 1 July.,"International Energy Agency, IEA World Energy Balances 2021 and 2006 IPCC Guidelines for Greenhouse Gas Inventories, last accessed June 2022."
50,Bangladesh,2005,Emissions per capita (metric tons of carbon dioxide),0.2,Data refer to fiscal years beginning 1 July.,"International Energy Agency, IEA World Energy Balances 2021 and 2006 IPCC Guidelines for Greenhouse Gas Inventories, last accessed June 2022."
50,Bangladesh,2010,Emissions per capita (metric tons of carbon dioxide),0.3,Data refer to fiscal years beginning 1 July.,"International Energy Agency, IEA World Energy Balances 2021 and 2006 IPCC Guidelines for Greenhouse Gas Inventories, last accessed June 2022."
50,Bangladesh,2015,Emissions per capita (metric tons of carbon dioxide),0.5,Data refer to fiscal years beginning 1 July.,"International Energy Agency, IEA World Energy Balances 2021 and 2006 IPCC Guidelines for Greenhouse Gas Inventories, last accessed June 2022."
50,Bangladesh,2017,Emissions per capita (metric tons of carbon dioxide),0.5,Data refer to fiscal years beginning 1 July.,"International Energy Agency, IEA World Energy Balances 2021 and 2006 IPCC Guidelines for Greenhouse Gas Inventories, last accessed June 2022."
50,Bangladesh,2018,Emissions per capita (metric tons of carbon dioxide),0.5,Data refer to fiscal years beginning 1 July.,"International Energy Agency, IEA World Energy Balances 2021 and 2006 IPCC Guidelines for Greenhouse Gas Inventories, last accessed June 2022."
50,Bangladesh,2019,Emissions per capita (metric tons of carbon dioxide),0.5,Data refer to fiscal years beginning 1 July.,"International Energy Agency, IEA World Energy Balances 2021 and 2006 IPCC Guidelines for Greenhouse Gas Inventories, last accessed June 2022."
112,Belarus,2005,Emissions (thousand metric tons of carbon dioxide),55755,,"International Energy Agency, IEA World Energy Balances 2021 and 2006 IPCC Guidelines for Greenhouse Gas Inventories, last accessed June 2022."
112,Belarus,2010,Emissions (thousand metric tons of carbon dioxide),60272,,"International Energy Agency, IEA World Energy Balances 2021 and 2006 IPCC Guidelines for Greenhouse Gas Inventories, last accessed June 2022."
112,Belarus,2015,Emissions (thousand metric tons of carbon dioxide),53261,,"International Energy Agency, IEA World Energy Balances 2021 and 2006 IPCC Guidelines for Greenhouse Gas Inventories, last accessed June 2022."
112,Belarus,2017,Emissions (thousand metric tons of carbon dioxide),54727,,"International Energy Agency, IEA World Energy Balances 2021 and 2006 IPCC Guidelines for Greenhouse Gas Inventories, last accessed June 2022."
112,Belarus,2018,Emissions (thousand metric tons of carbon dioxide),57837,,"International Energy Agency, IEA World Energy Balances 2021 and 2006 IPCC Guidelines for Greenhouse Gas Inventories, last accessed June 2022."
112,Belarus,2019,Emissions (thousand metric tons of carbon dioxide),56140,,"International Energy Agency, IEA World Energy Balances 2021 and 2006 IPCC Guidelines for Greenhouse Gas Inventories, last accessed June 2022."
112,Belarus,2005,Emissions per capita (metric tons of carbon dioxide),5.7,,"International Energy Agency, IEA World Energy Balances 2021 and 2006 IPCC Guidelines for Greenhouse Gas Inventories, last accessed June 2022."
112,Belarus,2010,Emissions per capita (metric tons of carbon dioxide),6.3,,"International Energy Agency, IEA World Energy Balances 2021 and 2006 IPCC Guidelines for Greenhouse Gas Inventories, last accessed June 2022."
112,Belarus,2015,Emissions per capita (metric tons of carbon dioxide),5.5,,"International Energy Agency, IEA World Energy Balances 2021 and 2006 IPCC Guidelines for Greenhouse Gas Inventories, last accessed June 2022."
112,Belarus,2017,Emissions per capita (metric tons of carbon dioxide),5.7,,"International Energy Agency, IEA World Energy Balances 2021 and 2006 IPCC Guidelines for Greenhouse Gas Inventories, last accessed June 2022."
112,Belarus,2018,Emissions per capita (metric tons of carbon dioxide),6,,"International Energy Agency, IEA World Energy Balances 2021 and 2006 IPCC Guidelines for Greenhouse Gas Inventories, last accessed June 2022."
112,Belarus,2019,Emissions per capita (metric tons of carbon dioxide),5.9,,"International Energy Agency, IEA World Energy Balances 2021 and 2006 IPCC Guidelines for Greenhouse Gas Inventories, last accessed June 2022."
56,Belgium,1975,Emissions (thousand metric tons of carbon dioxide),116832,,"International Energy Agency, IEA World Energy Balances 2021 and 2006 IPCC Guidelines for Greenhouse Gas Inventories, last accessed June 2022."
56,Belgium,1985,Emissions (thousand metric tons of carbon dioxide),102109,,"International Energy Agency, IEA World Energy Balances 2021 and 2006 IPCC Guidelines for Greenhouse Gas Inventories, last accessed June 2022."
56,Belgium,2005,Emissions (thousand metric tons of carbon dioxide),108685,,"International Energy Agency, IEA World Energy Balances 2021 and 2006 IPCC Guidelines for Greenhouse Gas Inventories, last accessed June 2022."
56,Belgium,2010,Emissions (thousand metric tons of carbon dioxide),105403,,"International Energy Agency, IEA World Energy Balances 2021 and 2006 IPCC Guidelines for Greenhouse Gas Inventories, last accessed June 2022."
56,Belgium,2015,Emissions (thousand metric tons of carbon dioxide),93987,,"International Energy Agency, IEA World Energy Balances 2021 and 2006 IPCC Guidelines for Greenhouse Gas Inventories, last accessed June 2022."
56,Belgium,2017,Emissions (thousand metric tons of carbon dioxide),91678,,"International Energy Agency, IEA World Energy Balances 2021 and 2006 IPCC Guidelines for Greenhouse Gas Inventories, last accessed June 2022."
56,Belgium,2018,Emissions (thousand metric tons of carbon dioxide),92372,,"International Energy Agency, IEA World Energy Balances 2021 and 2006 IPCC Guidelines for Greenhouse Gas Inventories, last accessed June 2022."
56,Belgium,2019,Emissions (thousand metric tons of carbon dioxide),91419,,"International Energy Agency, IEA World Energy Balances 2021 and 2006 IPCC Guidelines for Greenhouse Gas Inventories, last accessed June 2022."
56,Belgium,1975,Emissions per capita (metric tons of carbon dioxide),11.8,,"International Energy Agency, IEA World Energy Balances 2021 and 2006 IPCC Guidelines for Greenhouse Gas Inventories, last accessed June 2022."
56,Belgium,1985,Emissions per capita (metric tons of carbon dioxide),10.2,,"International Energy Agency, IEA World Energy Balances 2021 and 2006 IPCC Guidelines for Greenhouse Gas Inventories, last accessed June 2022."
56,Belgium,2005,Emissions per capita (metric tons of carbon dioxide),10.3,,"International Energy Agency, IEA World Energy Balances 2021 and 2006 IPCC Guidelines for Greenhouse Gas Inventories, last accessed June 2022."
56,Belgium,2010,Emissions per capita (metric tons of carbon dioxide),9.6,,"International Energy Agency, IEA World Energy Balances 2021 and 2006 IPCC Guidelines for Greenhouse Gas Inventories, last accessed June 2022."
56,Belgium,2015,Emissions per capita (metric tons of carbon dioxide),8.2,,"International Energy Agency, IEA World Energy Balances 2021 and 2006 IPCC Guidelines for Greenhouse Gas Inventories, last accessed June 2022."
56,Belgium,2017,Emissions per capita (metric tons of carbon dioxide),8,,"International Energy Agency, IEA World Energy Balances 2021 and 2006 IPCC Guidelines for Greenhouse Gas Inventories, last accessed June 2022."
56,Belgium,2018,Emissions per capita (metric tons of carbon dioxide),8,,"International Energy Agency, IEA World Energy Balances 2021 and 2006 IPCC Guidelines for Greenhouse Gas Inventories, last accessed June 2022."
56,Belgium,2019,Emissions per capita (metric tons of carbon dioxide),7.9,,"International Energy Agency, IEA World Energy Balances 2021 and 2006 IPCC Guidelines for Greenhouse Gas Inventories, last accessed June 2022."
204,Benin,1975,Emissions (thousand metric tons of carbon dioxide),693,,"International Energy Agency, IEA World Energy Balances 2021 and 2006 IPCC Guidelines for Greenhouse Gas Inventories, last accessed June 2022."
204,Benin,1985,Emissions (thousand metric tons of carbon dioxide),763,,"International Energy Agency, IEA World Energy Balances 2021 and 2006 IPCC Guidelines for Greenhouse Gas Inventories, last accessed June 2022."
204,Benin,2005,Emissions (thousand metric tons of carbon dioxide),3198,,"International Energy Agency, IEA World Energy Balances 2021 and 2006 IPCC Guidelines for Greenhouse Gas Inventories, last accessed June 2022."
204,Benin,2010,Emissions (thousand metric tons of carbon dioxide),5148,,"International Energy Agency, IEA World Energy Balances 2021 and 2006 IPCC Guidelines for Greenhouse Gas Inventories, last accessed June 2022."
204,Benin,2015,Emissions (thousand metric tons of carbon dioxide),6002,,"International Energy Agency, IEA World Energy Balances 2021 and 2006 IPCC Guidelines for Greenhouse Gas Inventories, last accessed June 2022."
204,Benin,2017,Emissions (thousand metric tons of carbon dioxide),7455,,"International Energy Agency, IEA World Energy Balances 2021 and 2006 IPCC Guidelines for Greenhouse Gas Inventories, last accessed June 2022."
204,Benin,2018,Emissions (thousand metric tons of carbon dioxide),8044,,"International Energy Agency, IEA World Energy Balances 2021 and 2006 IPCC Guidelines for Greenhouse Gas Inventories, last accessed June 2022."
204,Benin,2019,Emissions (thousand metric tons of carbon dioxide),7941,,"International Energy Agency, IEA World Energy Balances 2021 and 2006 IPCC Guidelines for Greenhouse Gas Inventories, last accessed June 2022."
204,Benin,1975,Emissions per capita (metric tons of carbon dioxide),0.1,,"International Energy Agency, IEA World Energy Balances 2021 and 2006 IPCC Guidelines for Greenhouse Gas Inventories, last accessed June 2022."
204,Benin,1985,Emissions per capita (metric tons of carbon dioxide),0.1,,"International Energy Agency, IEA World Energy Balances 2021 and 2006 IPCC Guidelines for Greenhouse Gas Inventories, last accessed June 2022."
204,Benin,2005,Emissions per capita (metric tons of carbon dioxide),0.3,,"International Energy Agency, IEA World Energy Balances 2021 and 2006 IPCC Guidelines for Greenhouse Gas Inventories, last accessed June 2022."
204,Benin,2010,Emissions per capita (metric tons of carbon dioxide),0.5,,"International Energy Agency, IEA World Energy Balances 2021 and 2006 IPCC Guidelines for Greenhouse Gas Inventories, last accessed June 2022."
204,Benin,2015,Emissions per capita (metric tons of carbon dioxide),0.5,,"International Energy Agency, IEA World Energy Balances 2021 and 2006 IPCC Guidelines for Greenhouse Gas Inventories, last accessed June 2022."
204,Benin,2017,Emissions per capita (metric tons of carbon dioxide),0.6,,"International Energy Agency, IEA World Energy Balances 2021 and 2006 IPCC Guidelines for Greenhouse Gas Inventories, last accessed June 2022."
204,Benin,2018,Emissions per capita (metric tons of carbon dioxide),0.6,,"International Energy Agency, IEA World Energy Balances 2021 and 2006 IPCC Guidelines for Greenhouse Gas Inventories, last accessed June 2022."
204,Benin,2019,Emissions per capita (metric tons of carbon dioxide),0.6,,"International Energy Agency, IEA World Energy Balances 2021 and 2006 IPCC Guidelines for Greenhouse Gas Inventories, last accessed June 2022."
68,Bolivia (Plurin. State of),1975,Emissions (thousand metric tons of carbon dioxide),3370,,"International Energy Agency, IEA World Energy Balances 2021 and 2006 IPCC Guidelines for Greenhouse Gas Inventories, last accessed June 2022."
